id_fixation,x,y
53,565334.4683542799,6527689.723654489
53,565333.5167680242,6527690.397100253
53,565332.8972973307,6527691.336708578
53,565333.1159970228,6527691.901662263
53,565333.6041476742,6527691.834919279
53,565333.8716624315,6527691.524060059
54,565315.6964446754,6527674.616957007
54,565315.3286574419,6527674.35183334
54,565315.0905957313,6527674.089693477
54,565315.0033755333,6527673.958587306
54,565314.8919642017,6527673.909541783
54,565314.8088669747,6527674.097750956
54,565314.4658403457,6527674.490779547
54,565314.5176849973,6527674.755275045
55,565312.9226191454,6527679.374976718
55,565313.0969000895,6527679.455104538
55,565312.6781338005,6527679.750489051
55,565312.4838302515,6527680.08635424
55,565312.9597258841,6527680.17793407
55,565313.219791959,6527679.9023731295
56,565332.6806932923,6527689.027473831
56,565332.4207411116,6527688.581328697
56,565332.228578774,6527688.386016379
56,565332.4610596675,6527688.306830812
56,565332.5217652898,6527688.586740617
56,565332.3756389982,6527689.0374882985
57,565471.6046784759,6527735.575117728
57,565471.2169825317,6527735.556876659
57,565470.1020947353,6527735.099980167
57,565469.0441084941,6527734.552168255
58,565488.382527977,6527732.668192013
58,565489.0237524676,6527732.42025844
58,565489.2718140912,6527732.516899864
58,565490.1346311873,6527732.685780752
59,565487.2363420475,6527716.378277335
59,565487.9843993217,6527716.38881125
59,565488.590681064,6527716.382541638
59,565489.1136833483,6527716.463031865
60,565477.3269521628,6527720.740127609
60,565477.8464920627,6527720.600239147
60,565478.7896729244,6527720.284898181
60,565479.1316289477,6527720.087483912
60,565479.4372754917,6527719.958999138
61,565462.6767379129,6527722.827099161
61,565463.1424286229,6527722.833936542
61,565462.9323165553,6527723.002986553
61,565463.0085801289,6527722.998516887
61,565463.4299432063,6527722.755125461
61,565463.53499924,6527722.816734369
61,565463.0351402623,6527722.960633449
62,565460.3080113648,6527723.033549404
62,565460.1867367933,6527722.995907568
62,565460.5510160847,6527722.770805532
62,565460.8490089368,6527722.376532682
62,565460.7500576335,6527722.202215713
62,565461.0048617952,6527722.0848930245
62,565461.3001667436,6527722.1595968455
62,565461.6976120336,6527722.425771488
63,565465.367876235,6527738.649498871
63,565465.713841335,6527739.068946811
63,565466.2090534283,6527739.340847458
63,565466.4629919939,6527739.323041275
63,565466.3472299029,6527739.336836838
63,565465.9679621314,6527739.556478635
64,565494.8008776136,6527738.637901899
64,565494.9164574739,6527738.07805813
64,565494.7814700375,6527737.272431059
64,565494.6122687759,6527736.42486161
64,565494.8585536495,6527735.563544918
65,565494.2959617323,6527747.4234529575
65,565494.4091725927,6527747.21113175
65,565494.1944591984,6527747.5524934195
65,565494.1829331027,6527747.948385013
65,565495.1185058302,6527748.244615138
65,565495.8743990272,6527748.372520063
65,565495.9129863909,6527748.395834806
66,565505.6290749956,6527739.644204888
66,565505.5742235366,6527739.63686014
66,565505.5686654984,6527739.744228762
66,565505.7097576652,6527739.943575859
66,565505.9462020777,6527740.022749346
66,565506.0400964774,6527740.162613647
66,565505.6877988585,6527740.084744819
67,565500.5622397987,6527738.709899761
67,565500.4838805716,6527738.642419886
67,565500.6090275467,6527738.449861849
67,565500.2264796215,6527738.350297022
67,565499.849990869,6527738.30678422
67,565500.3561823657,6527737.962523308
67,565501.1544442147,6527737.599296515
68,565490.3185931406,6527734.450259873
68,565491.2205898503,6527733.955938989
68,565491.852839476,6527733.461376501
68,565492.1554336548,6527733.405807682
68,565492.0028609501,6527733.74905386
68,565491.8405388996,6527734.009792423
69,565477.8663552157,6527727.509207034
69,565477.9604318461,6527728.476394406
69,565478.8450710758,6527728.974387664
69,565479.5654748321,6527728.813648815
69,565479.5458394677,6527728.320753393
69,565478.9740904546,6527727.696328991
69,565478.0373332272,6527727.176204847
70,565490.5176802471,6527732.879981695
70,565491.0126189942,6527732.967176419
70,565491.5218172985,6527733.586478825
70,565490.8574039435,6527734.772679824
70,565489.0593330237,6527737.0494068125
70,565488.3124146917,6527739.063196646
71,565490.8942145573,6527727.356199499
71,565491.885048763,6527728.428242817
71,565493.4638049618,6527728.608454912
71,565494.1450291044,6527728.025489681
71,565494.5692623162,6527726.988503041
72,565474.3458846997,6527716.173143833
72,565475.4258297477,6527715.443174916
72,565476.6729259612,6527714.919366318
72,565477.5220757503,6527714.7893956825
72,565477.6505484368,6527715.228220229
73,565410.389766766,6527654.311663641
73,565410.4547320324,6527653.333120901
73,565410.32814999,6527652.511741278
73,565410.156784738,6527652.027241578
73,565410.2939817222,6527651.299749099
73,565410.1504977767,6527650.421918804
73,565409.8744865102,6527649.367270943
74,565399.6333227461,6527650.1701920545
74,565399.6822744843,6527649.300105154
74,565399.4512058792,6527648.815279289
75,565400.3127473601,6527637.130715032
75,565400.1033869943,6527636.721209078
75,565399.6285847464,6527636.401289724
75,565399.6072409685,6527636.083242797
76,565413.912287378,6527637.080401091
76,565414.0894156778,6527636.564335886
76,565413.8722421683,6527636.040865533
76,565413.4576899656,6527635.341821873
76,565413.6547953126,6527634.811779902
76,565414.1760891835,6527634.507262775
76,565414.4433761524,6527634.360077886
77,565406.1028108901,6527648.9603501465
77,565406.4777279021,6527648.9300893005
77,565407.0263791662,6527648.7078019455
77,565406.8021442146,6527647.93920062
77,565406.4290039524,6527647.672144124
77,565406.4090952418,6527647.380214543
78,565395.0877586413,6527648.348030084
78,565395.0334310957,6527648.148151458
78,565394.9771673481,6527647.876444095
78,565395.0383968839,6527647.316564085
78,565395.151789975,6527646.956309017
78,565394.9031361016,6527646.931544651
78,565394.6921812167,6527646.979116392
78,565394.6315894886,6527646.504341236
79,565407.6827288099,6527650.993250823
79,565407.410453274,6527650.175060366
79,565407.0816862021,6527649.746516051
79,565407.2557849155,6527649.14649361
80,565415.2035745512,6527647.093431117
80,565414.7382938603,6527647.426759468
80,565414.7090913809,6527647.90529156
80,565415.4857361058,6527648.246786112
80,565416.3001937137,6527648.280912615
81,565407.1739860827,6527644.454794075
81,565407.3807268811,6527644.102463604
81,565407.3633466222,6527643.639780706
81,565407.448835628,6527643.276179428
81,565407.5233452305,6527642.812832121
81,565407.1199546619,6527642.451224072
81,565406.8860842589,6527642.383792519
82,565446.340114642,6527647.535348189
82,565446.639155321,6527647.70168016
82,565446.8325477163,6527647.866671231
82,565446.826853005,6527648.193403806
82,565446.9006109055,6527648.432192684
83,565419.308595791,6527653.533434412
83,565419.5984338165,6527653.647580015
83,565419.9693417519,6527653.953425962
83,565420.066835209,6527654.420421483
83,565420.1196137932,6527654.733829621
83,565420.3907048292,6527654.756286672
83,565420.8313160307,6527654.5399910845
84,565410.6716321957,6527627.009881498
84,565410.5416105477,6527627.212514404
84,565411.0879383695,6527627.247981806
84,565411.2179144598,6527627.229474974
84,565410.6406985241,6527627.154916115
84,565410.2310893307,6527627.109434245
85,565422.636653402,6527637.253111396
85,565422.8207064708,6527637.323393872
85,565422.9315027735,6527637.607567979
85,565423.0484949221,6527637.9482894
85,565423.3267840731,6527637.792817509
85,565423.3271940923,6527637.479554333
85,565423.0198163561,6527637.13935236
86,565411.1469127996,6527655.363810904
86,565411.1241111755,6527654.973584914
86,565411.4139719799,6527654.63532785
