x,y,time,id_pan
542648.4706568429,5740464.144413888,1652880553480,9
542648.4706568429,5740464.144413888,1652880553581,9
542648.4706568429,5740464.144413888,1652880553680,9
542648.4706568429,5740464.144413888,1652880553780,9
542648.4706568429,5740464.144413888,1652880553880,9
542572.0336285578,5739757.101902252,1652880553981,9
542075.192944704,5738190.142822406,1652880554080,9
541884.1003739912,5737483.100310769,1652880554182,9
541884.1003739912,5737463.991053698,1652880554280,9
541884.1003739912,5737463.991053698,1652880554381,9
541884.1003739912,5737463.991053698,1652880554480,9
541884.1003739912,5737463.991053698,1652880554580,9
542151.6299729893,5736967.150369844,1652880554680,9
542438.2688290586,5735725.048660211,1652880554781,9
542438.2688290586,5735037.115405645,1652880554880,9
542438.2688290586,5734941.569120289,1652880554980,9
542438.2688290586,5734941.569120289,1652880555080,9
542438.2688290586,5734941.569120289,1652880555181,9
542438.2688290586,5734941.569120289,1652880555280,9
542457.3780861299,5734846.022834932,1652880555381,9
543259.9668831243,5733107.080441446,1652880555481,9
543489.2779679798,5731845.869474742,1652880555580,9
543565.7149962649,5731349.028790888,1652880555680,9
543565.7149962649,5731329.919533817,1652880555780,9
543565.7149962649,5731329.919533817,1652880555880,9
543565.7149962649,5731329.919533817,1652880555981,9
543565.7149962649,5731329.919533817,1652880556080,9
543565.7149962649,5731329.919533817,1652880556180,9
543565.7149962649,5731329.919533817,1652880556280,9
543565.7149962649,5731329.919533817,1652880556381,9
543775.9168240491,5730450.893708538,1652880556481,9
543775.9168240491,5729648.304911545,1652880556580,9
543775.9168240491,5729036.808685264,1652880556681,9
543699.479795764,5728406.203201911,1652880556781,9
543623.0427674789,5728157.782859985,1652880556881,9
543508.3872250512,5727947.581032201,1652880556980,9
543336.4039114097,5727775.597718559,1652880557081,9
543259.9668831246,5727756.488461488,1652880557181,9
543259.9668831246,5727756.488461488,1652880557287,9
543259.9668831246,5727756.488461488,1652880557382,9
543259.9668831246,5727756.488461488,1652880557492,9
543183.5298548394,5727718.269947345,1652880557581,9
542533.8151144154,5727374.303320062,1652880557681,9
542247.1762583461,5727011.227435708,1652880557780,9
542132.5207159184,5726724.588579639,1652880557881,9
542056.0836876333,5726609.933037211,1652880557981,9
542056.0836876333,5726609.933037211,1652880558083,9
542113.4114588471,5726820.134864995,1652880558180,9
542228.0670012748,5727087.664463993,1652880558281,9
542419.1595719876,5727622.723661989,1652880558381,9
542514.705857344,5727947.581032201,1652880558481,9
542705.7984280568,5728387.09394484,1652880558580,9
542916.0002558408,5729017.699428192,1652880558681,9
543431.950196766,5729973.162281756,1652880558781,9
543737.6983099065,5730718.423307536,1652880558880,9
544100.7741942611,5731692.995418171,1652880558980,9
544177.2112225462,5731960.525017169,1652880559080,9
544177.2112225462,5731960.525017169,1652880559181,9
544177.2112225462,5731960.525017169,1652880559280,9
544177.2112225462,5731960.525017169,1652880559381,9
544177.2112225462,5731960.525017169,1652880559481,9
544177.2112225462,5731960.525017169,1652880559581,9
543947.9001376906,5732763.113814163,1652880559680,9
543336.403911409,5734826.913577861,1652880559781,9
537289.418261171,5737512.260085477,1652880562681,10
537423.1830606699,5738572.823852935,1652880562780,10
537585.6117457758,5739069.664536789,1652880562880,10
537595.1663743114,5739079.219165325,1652880562980,10
537595.1663743114,5739079.219165325,1652880563080,10
537595.1663743114,5739079.219165325,1652880563180,10
537595.1663743114,5739079.219165325,1652880563280,10
537595.1663743114,5739079.219165325,1652880563380,10
537633.384888454,5739260.757107503,1652880563480,10
537843.5867162381,5740158.892189854,1652880563581,10
538244.8811147353,5741238.565214383,1652880563681,10
538464.637571055,5741582.531841667,1652880563781,10
538464.637571055,5741582.531841667,1652880563880,10
538464.637571055,5741582.531841667,1652880563980,10
538464.637571055,5741582.531841667,1652880564080,10
538464.637571055,5741582.531841667,1652880564181,10
538464.637571055,5741582.531841667,1652880564281,10
538464.637571055,5741582.531841667,1652880564381,10
538512.4107137332,5742155.809553807,1652880564480,10
538722.6125415172,5743025.280750551,1652880564580,10
538894.5958551588,5743493.457548799,1652880564681,10
539047.469911729,5743741.877890728,1652880564781,10
539047.469911729,5743741.877890728,1652880564880,10
539047.469911729,5743741.877890728,1652880564980,10
539047.469911729,5743741.877890728,1652880565081,10
539047.469911729,5743741.877890728,1652880565181,10
539047.469911729,5743741.877890728,1652880565280,10
539047.469911729,5743741.877890728,1652880565391,10
539095.2430544072,5743923.415832906,1652880565480,10
539286.33562512,5744783.332401115,1652880565580,10
539381.8819104764,5745404.3832559325,1652880565681,10
563176.6095527482,5994601.476492593,1652880584881,11
563147.9456671412,5994716.132035022,1652880584980,11
563090.6178959274,5994878.56072013,1652880585080,11
560207.665716898,5994793.635568695,1652880589681,12
559949.6907464358,5994688.534654801,1652880589781,12
559682.1611474379,5994487.887455551,1652880589880,12
559519.732462332,5994382.786541657,1652880589980,12
559137.5473209062,5994306.349513371,1652880590081,12
558889.1269789796,5994306.349513371,1652880590180,12
558650.2612655886,5994258.576370691,1652880590280,12
560026.9290860159,5994458.04744793,1652880596273,14
560024.540428882,5994477.156705002,1652880596373,14
560022.1517717481,5994493.8773049405,1652880596473,14
