id_participant,id_pan,pourcentage,nbr_point_t
12,22,0.3076923076923077,26
12,23,0.2,20
12,24,0.07291666666666667,96
12,25,0.5625,16
12,27,0.6153846153846154,13
12,30,0.3333333333333333,15
12,31,0.10344827586206896,29
12,33,0.43478260869565216,23
12,34,0.2727272727272727,22
12,37,0.09090909090909091,33
12,38,0.14814814814814814,27
12,39,0.2222222222222222,18
12,40,0.6206896551724138,29
13,0,0.05555555555555555,18
13,2,0.3076923076923077,13
13,4,0.26666666666666666,15
13,5,0.25,12
13,7,0.047619047619047616,21
13,8,0.09090909090909091,11
13,10,0.2777777777777778,18
13,12,0.2857142857142857,14
13,14,0.18181818181818182,11
13,15,0.23076923076923078,13
13,16,0.5714285714285714,14
13,17,0.22916666666666666,48
13,18,0.6153846153846154,13
13,19,0.2857142857142857,14
13,20,0.6111111111111112,18
13,21,0.2,25
13,22,0.2727272727272727,11
13,23,0.14285714285714285,21
13,24,0.25,16
13,25,0.26666666666666666,15
15,1,0.2727272727272727,11
15,3,0.2857142857142857,14
15,5,0.09090909090909091,33
15,14,0.09090909090909091,11
15,24,0.36,25
15,26,0.2727272727272727,11
15,29,0.13636363636363635,22
15,43,0.2222222222222222,18
16,0,0.7058823529411765,17
16,1,0.3870967741935484,31
16,2,0.2,15
16,3,0.46153846153846156,13
16,4,0.0847457627118644,59
16,5,0.4782608695652174,23
16,6,0.2727272727272727,11
16,7,1.0,15
16,8,0.9666666666666667,30
16,9,0.36,50
16,10,0.5625,16
16,11,0.4,15
16,12,0.25806451612903225,31
16,13,0.36363636363636365,22
16,14,0.4666666666666667,15
16,15,0.35714285714285715,28
16,16,0.1509433962264151,53
16,17,0.16666666666666666,24
16,18,0.18181818181818182,33
16,19,0.04477611940298507,67
16,20,0.38461538461538464,13
16,21,0.3448275862068966,29
16,22,0.23076923076923078,13
18,0,0.27906976744186046,43
18,1,0.11842105263157894,76
18,2,0.3157894736842105,19
18,4,0.029850746268656716,134
18,6,0.0392156862745098,102
18,7,0.7142857142857143,14
18,10,0.25,32
18,11,0.2127659574468085,47
18,12,0.07,100
18,13,0.225,40
18,17,0.2857142857142857,21
18,19,0.10256410256410256,39
18,20,0.8095238095238095,21
18,21,0.37037037037037035,27
18,22,1.0,12
18,23,0.09090909090909091,11
18,24,0.5333333333333333,15
18,25,0.038834951456310676,103
18,26,0.15,20
18,27,0.3,30
18,28,0.20930232558139536,43
18,29,0.10526315789473684,19
18,30,0.010101010101010102,99
18,32,0.18181818181818182,22
18,34,0.014285714285714285,140
18,35,0.72,25
18,36,0.5,36
18,37,0.3684210526315789,19
18,38,0.10416666666666667,48
18,40,0.10606060606060606,66
18,41,0.6428571428571429,28
18,42,0.6521739130434783,23
18,43,0.02877697841726619,139
18,44,0.26666666666666666,30
18,45,0.4782608695652174,23
18,46,0.3333333333333333,24
18,47,0.25,20
18,48,0.19402985074626866,67
18,52,0.14285714285714285,14
18,53,0.14705882352941177,34
18,54,0.27586206896551724,29
18,55,0.3333333333333333,12
19,0,0.11627906976744186,43
19,1,0.041666666666666664,72
19,2,0.08333333333333333,36
19,3,0.3125,16
19,4,0.0625,16
19,8,0.16981132075471697,53
19,9,0.0661764705882353,136
19,10,0.06976744186046512,43
19,11,0.08196721311475409,61
19,13,0.14285714285714285,21
19,14,0.06666666666666667,30
19,15,0.3023255813953488,43
19,16,0.09523809523809523,21
19,20,0.35294117647058826,17
19,21,0.11764705882352941,34
19,23,0.2,15
19,24,0.08695652173913043,23
19,25,0.07407407407407407,27
19,26,0.2653061224489796,49
19,27,0.47368421052631576,19
19,28,0.3448275862068966,29
19,29,0.07407407407407407,27
19,30,0.6875,32
19,31,0.07894736842105263,38
19,33,0.25,16
19,34,0.06818181818181818,44
19,35,0.3333333333333333,12
19,37,0.1,20
19,39,0.38461538461538464,13
19,40,0.21739130434782608,23
19,41,0.41379310344827586,29
19,42,0.2903225806451613,31
19,43,0.09090909090909091,22
19,44,0.23809523809523808,21
19,45,0.32,25
19,48,0.25,12
19,49,0.2222222222222222,18
