id_participant,id_zoom,pourcentage,type,nbr_point_t
6,38,0.6923076923076923,in,13
6,39,0.35135135135135137,in,37
6,40,1.0,in,29
6,43,1.0,in,41
6,44,0.7692307692307693,in,13
6,48,0.46153846153846156,in,13
6,50,0.75,in,16
6,51,0.11764705882352941,out,17
6,53,0.18181818181818182,out,11
6,54,0.6153846153846154,in,13
6,55,0.4117647058823529,in,17
7,0,0.34615384615384615,out,26
7,3,0.16666666666666666,out,18
7,4,0.5384615384615384,out,13
7,5,0.391304347826087,out,23
7,8,0.3333333333333333,out,12
7,9,0.21428571428571427,out,14
7,11,0.1875,out,16
7,13,0.2777777777777778,out,18
7,14,0.5833333333333334,in,12
7,15,0.21428571428571427,out,14
7,20,0.84,in,25
7,23,0.7941176470588235,in,34
7,26,0.5909090909090909,in,22
7,27,0.25,in,12
7,28,0.8333333333333334,out,12
7,29,0.7096774193548387,in,31
7,31,0.6818181818181818,in,22
7,32,0.896551724137931,in,29
7,34,0.45454545454545453,in,11
7,35,0.5454545454545454,out,11
7,37,0.16129032258064516,in,31
7,38,0.46153846153846156,in,13
7,39,0.44155844155844154,in,77
7,46,0.3333333333333333,in,12
7,47,0.6111111111111112,in,18
7,49,0.25,out,12
7,50,0.07142857142857142,out,14
7,51,0.23076923076923078,in,39
7,52,0.18518518518518517,in,27
8,0,0.35714285714285715,out,14
8,1,0.125,out,16
8,2,0.4,out,15
8,5,0.3333333333333333,out,12
8,6,0.2857142857142857,out,14
8,7,0.4,out,15
8,9,0.36363636363636365,out,11
8,10,0.3333333333333333,out,15
8,11,0.6470588235294118,out,17
8,12,0.36363636363636365,out,11
8,14,0.7058823529411765,in,17
8,15,0.575,in,40
8,16,0.4,in,15
8,17,0.6428571428571429,in,14
8,18,1.0,in,16
8,19,0.7272727272727273,in,11
8,20,0.46835443037974683,in,79
8,22,0.5454545454545454,in,11
8,23,0.3333333333333333,out,12
8,24,0.9705882352941176,in,34
8,25,0.7272727272727273,out,33
8,26,0.4,in,40
8,27,0.8181818181818182,in,11
8,28,0.3333333333333333,in,12
8,29,0.6363636363636364,in,11
8,30,0.38461538461538464,out,13
8,31,0.6363636363636364,in,11
8,32,0.4117647058823529,in,34
8,33,1.0,in,15
8,34,1.0,in,11
8,35,0.4,in,15
8,36,0.5806451612903226,in,31
8,37,0.08823529411764706,out,34
8,38,0.5882352941176471,in,17
8,39,0.3333333333333333,in,12
8,40,0.6470588235294118,in,17
8,41,0.28169014084507044,in,71
8,42,0.5333333333333333,in,15
9,0,0.09259259259259259,out,54
9,1,0.23529411764705882,out,34
9,2,0.16666666666666666,out,24
9,3,0.11538461538461539,out,26
9,4,0.28,out,75
9,5,0.21739130434782608,out,23
9,6,0.16216216216216217,out,37
9,7,0.23076923076923078,out,13
9,12,0.5833333333333334,in,12
9,13,0.8627450980392157,in,51
9,14,0.5,in,14
9,16,0.20689655172413793,out,29
9,17,0.7037037037037037,in,27
9,18,0.28,out,25
9,21,1.0,in,23
9,22,1.0,in,15
9,24,0.5714285714285714,in,14
9,25,0.28,in,25
9,26,0.32142857142857145,in,28
9,27,0.7272727272727273,in,44
9,29,0.38461538461538464,out,13
9,31,0.5,in,14
9,34,0.38461538461538464,in,13
9,36,0.26666666666666666,in,45
9,37,0.32,in,25
9,38,0.36363636363636365,in,11
9,39,0.21212121212121213,in,33
9,42,0.2857142857142857,in,42
9,43,0.1111111111111111,out,36
9,44,0.6935483870967742,in,62
