center,time,id_zoom
"(559940.3293894477, 5994077.144545596)",1652360807822,25
"(559973.4331981005, 5994009.2738741655)",1652360807922,25
"(559980.638340004, 5993994.501621708)",1652360808022,25
"(140082.4562192704, 5752895.391607834)",1652360820322,26
"(139886.52365513632, 5753115.909535606)",1652360820422,26
"(139851.29053469817, 5753155.563662231)",1652360820521,26
"(139744.3356603613, 5753289.854101568)",1652360820622,26
"(139690.9750793145, 5753356.85862122)",1652360820722,26
"(139679.8455783928, 5753370.926749128)",1652360820822,26
"(139619.93081000372, 5753447.137459112)",1652360820922,26
"(139604.90197261775, 5753466.253920684)",1652360821022,26
"(139604.42889161216, 5753466.855672809)",1652360821122,26
"(139602.3565728936, 5753469.202029425)",1652360821222,26
"(139569.29556673823, 5753506.634934809)",1652360821321,26
"(139560.8488963396, 5753516.198570361)",1652360821422,26
"(139560.5573845651, 5753516.528630875)",1652360821522,26
"(139560.5573845651, 5753516.528630875)",1652360821623,26
"(139560.5573845651, 5753516.528630875)",1652360821722,26
"(139544.8141033865, 5753534.675199962)",1652360821822,26
"(139531.98564361772, 5753549.461986074)",1652360821922,26
"(139527.96950031025, 5753554.091213055)",1652360822022,26
"(139527.3280529177, 5753554.467325928)",1652360823522,27
"(139506.28925457312, 5753555.253237426)",1652360823623,27
"(139500.62112199786, 5753555.464972455)",1652360823721,27
"(139500.40311689881, 5753555.473116111)",1652360823821,27
"(139500.40311689881, 5753555.473116111)",1652360823923,27
"(139500.40311689881, 5753555.473116111)",1652360824021,27
"(139461.00784099603, 5753557.106608686)",1652360824121,27
"(139446.77402647317, 5753557.696802047)",1652360824225,27
"(139296.7561235648, 5753704.234314772)",1652360825521,28
"(139241.78730454546, 5753758.22853049)",1652360825622,28
"(139408.64293702669, 5752808.552241874)",1652360827522,29
"(139653.44975335264, 5752695.196139048)",1652360827622,29
"(139714.04080023494, 5752667.139873933)",1652360827722,29
"(139715.82009826915, 5752666.315982287)",1652360827822,29
"(139715.82009826915, 5752666.315982287)",1652360827922,29
"(139715.82009826915, 5752666.315982287)",1652360828022,29
"(139715.82009826915, 5752666.315982287)",1652360828122,29
"(139715.82009826915, 5752666.315982287)",1652360828221,29
"(139715.82009826915, 5752666.315982287)",1652360828335,29
"(139715.82009826915, 5752666.315982287)",1652360828422,29
"(139779.6578624979, 5752641.006720218)",1652360828526,29
"(139875.44730822602, 5752603.029823399)",1652360828622,29
"(139905.20978538043, 5752591.230125474)",1652360828727,29
"(140076.77507749936, 5752617.490344402)",1652360830821,30
"(140149.01716990708, 5752621.654061131)",1652360830924,30
"(140197.82039554918, 5752623.992365884)",1652360831023,30
"(140226.93217221872, 5752625.361953482)",1652360831124,30
"(140253.39960735582, 5752626.831962254)",1652360831224,30
"(140266.94312787786, 5752627.590817908)",1652360831323,30
"(-187362.28033476145, 6125988.785010814)",1652360842521,31
"(-186597.08989139096, 6125531.715681686)",1652360842623,31
"(-186404.1586073187, 6125416.472511384)",1652360842722,31
"(-185852.02491230288, 6125327.500109964)",1652360846822,32
"(-186685.3939173755, 6125270.68058747)",1652360846922,32
"(-186852.33501196926, 6125259.298458758)",1652360847022,32
"(-185433.03383149684, 6125486.372308818)",1652360849622,33
"(-185210.04293942836, 6125387.808847918)",1652360849721,33
"(-185159.60577770686, 6125156.206159782)",1652360851523,34
"(-185128.20200919948, 6125096.365154743)",1652360851622,34
"(235497.5482395129, 6349528.333033073)",1652360866022,35
"(234081.69175267083, 6345849.69821624)",1652360866122,35
"(233851.32601871493, 6345251.16904509)",1652360866223,35
"(233831.70708899657, 6348736.068613956)",1652360868522,36
"(233490.5138576784, 6347729.478566149)",1652360868622,36
"(233453.86579590605, 6347621.359263463)",1652360868721,36
"(233453.86579590605, 6347621.359263463)",1652360868821,36
"(233453.86579590605, 6347621.359263463)",1652360868922,36
"(233453.86579590605, 6347621.359263463)",1652360869022,36
"(233091.83559690067, 6346911.0839026775)",1652360869123,36
"(232957.8973599564, 6346648.307399972)",1652360869222,36
"(232119.8240015636, 6348528.337073293)",1652360871622,37
"(232251.3152668533, 6348092.847731159)",1652360871722,37
"(231920.8729696855, 6348121.609937223)",1652360874123,38
"(231768.0927540798, 6347842.64411283)",1652360874222,38
"(231722.79010881938, 6347759.924699638)",1652360874322,38
"(231720.748923134, 6347756.197639526)",1652360874422,38
"(231720.748923134, 6347756.197639526)",1652360874522,38
"(231720.748923134, 6347756.197639526)",1652360874622,38
"(231649.54941716514, 6347621.849003719)",1652360874722,38
"(231625.79801170243, 6347577.031713502)",1652360874821,38
"(231470.65248535777, 6347469.574944088)",1652360880822,39
"(231518.73848753393, 6347439.912240403)",1652360880922,39
"(231525.84438425166, 6347435.528841925)",1652360881022,39
"(232346.32509424892, 6347706.421116922)",1652360898523,40
"(232418.5710669019, 6347688.568763709)",1652360898622,40
"(232434.2956166167, 6347684.6831462085)",1652360898723,40
"(232396.42299125303, 6347677.921126986)",1652360901723,41
"(232409.85061585362, 6347693.793999971)",1652360901822,41
"(232412.03534617423, 6347696.3765823655)",1652360901922,41
"(232316.31974635608, 6348002.285949708)",1652360911222,42
"(232340.5809771776, 6348004.854433139)",1652360911322,42
"(232357.69733683812, 6348006.392262798)",1652360911422,42
"(232382.51336015027, 6347965.90108271)",1652360914926,43
"(232374.1993151303, 6347961.882890443)",1652360915028,43
"(232168.58418510694, 6347838.97253103)",1652360922222,44
"(232169.706509989, 6347825.221176546)",1652360922323,44
"(232169.9036925207, 6347822.805185476)",1652360922423,44
"(540363.7049914486, 5743713.223191079)",1652360933522,45
"(540327.4917277697, 5742120.446525646)",1652360933623,45
"(540320.8045597278, 5741826.323209127)",1652360933722,45
"(538058.2166595254, 5745810.424530618)",1652360935422,46
"(538907.637686839, 5745743.655544643)",1652360935523,46
"(539877.8567241497, 5745300.8615451045)",1652360937623,47
"(540197.1862870877, 5745149.453230064)",1652360937723,47
"(541196.6129409615, 5748208.564732164)",1652360939924,48
"(541797.7543291011, 5748111.097851674)",1652360940022,48
"(540636.7223104266, 5748254.082034471)",1652360945123,49
"(541111.3551466078, 5748015.289035147)",1652360945222,49
"(541231.7691816073, 5747954.707409969)",1652360945322,49
"(540868.1334030053, 5746718.876493513)",1652360952622,50
"(540635.9555122093, 5746496.007609751)",1652360952722,50
"(540585.7215876502, 5746447.787778591)",1652360952825,50
"(540299.7057848457, 5746197.312364893)",1652360952922,50
"(539923.2059535896, 5745867.679026238)",1652360953022,50
"(539854.0128711014, 5745807.099060726)",1652360953122,50
"(536391.8506940424, 5739795.819088245)",1652360954623,51
"(536217.3114211527, 5739327.16573349)",1652360954723,51
"(536185.8456241095, 5739242.67729086)",1652360954822,51
"(535267.7113223192, 5738071.491425959)",1652360956721,52
"(535038.9005342635, 5737926.251906801)",1652360956822,52
"(534857.3884603776, 5737613.874566632)",1652360960923,53
"(534796.1487693761, 5737570.682843329)",1652360961022,53
"(534784.3402190933, 5737562.354394441)",1652360961122,53
"(535252.0637000661, 5736866.0817872975)",1652360963226,54
"(535228.8877527129, 5736800.075601374)",1652360963323,54
"(535219.7710733771, 5736774.110870694)",1652360963423,54
