# timestamps [seconds],pts
150882.982074,2361236
150883.146705,2372025
150883.280257,2380777
150883.438041,2391118
150883.607804,2402243
150883.778365,2413421
150883.894338,2421021
150884.014318,2428884
150884.101667,2434608
150884.201335,2441140
150884.298396,2447501
150884.420862,2455527
150884.526659,2462460
150884.634159,2469505
150884.765204,2478093
150884.956918,2490657
150885.126286,2501757
150885.259220,2510469
150885.380037,2518386
150885.499694,2526228
150885.638118,2535300
150885.740075,2541982
150885.840360,2548554
150885.959474,2556360
150886.104652,2565874
150886.243359,2574964
150886.407022,2585690
150886.551628,2595167
150886.697250,2604710
150886.814338,2612383
150886.934952,2620288
150887.047044,2627634
150887.173661,2635932
150887.292320,2643708
150887.399476,2650730
150887.481650,2656116
150887.582543,2662728
150887.702836,2670611
150887.826086,2678688
150887.960208,2687478
150888.123487,2698178
150888.248621,2706379
150888.359802,2713665
150888.461690,2720343
150888.550385,2726155
150888.634200,2731648
150888.753952,2739496
150888.886332,2748172
150889.055332,2759247
150889.182159,2767559
150889.295336,2774976
150889.470278,2786440
150889.581734,2793745
150889.684277,2800465
150889.786184,2807143
150889.894994,2814274
150890.004754,2821467
150890.131837,2829796
150890.258590,2838102
150890.388671,2846627
150890.550240,2857216
150890.709144,2867630
150890.845125,2876541
150890.947338,2883240
150891.035037,2888987
150891.136655,2895646
150891.257644,2903575
150891.375151,2911276
150891.485023,2918477
150891.610376,2926692
150891.754746,2936153
150891.887968,2944884
150891.994286,2951851
150892.134266,2961025
150892.280665,2970619
150892.401638,2978547
150892.523038,2986503
150892.629213,2993461
150892.714763,2999068
150892.827579,3006461
150892.920831,3012572
150893.017314,3018895
150893.141172,3027012
150893.279763,3036095
150893.413796,3044879
150893.559763,3054445
150893.675110,3062004
150893.788888,3069461
150893.911091,3077469
150894.016509,3084378
150894.097645,3089695
150894.182188,3095235
150894.248665,3099592
150894.358024,3106759
150894.564675,3120302
150894.689009,3128450
150894.793116,3135273
150894.947731,3145405
150895.091642,3154837
150895.226162,3163652
150895.337754,3170965
150895.441048,3177735
150895.539876,3184212
150895.638427,3190670
150895.767811,3199149
150895.923558,3209356
150896.028726,3216248
150896.129047,3222823
150896.266308,3231818
150896.398110,3240456
150896.527369,3248927
150896.636140,3256055
150896.732007,3262338
150896.820502,3268137
150896.931313,3275399
150897.070619,3284529
150897.216006,3294057
150897.370960,3304212
150897.483581,3311592
150897.613806,3320127
150897.724553,3327384
150897.822296,3333790
150897.927979,3340716
150898.027414,3347232
150898.131967,3354084
150898.233059,3360709
150898.327427,3366894
150898.438101,3374147
150898.577554,3383286
150898.686046,3390396
150898.785548,3396917
150898.872671,3402626
150898.996644,3410751
150899.123801,3419084
150899.256342,3427770
150899.387317,3436354
150899.491281,3443167
150899.616401,3451367
150899.766584,3461209
150899.884118,3468911
150899.999342,3476463
150900.097522,3482897
150900.190869,3489014
150900.302592,3496336
150900.438914,3505270
150900.597972,3515694
150900.720239,3523707
150900.836100,3531300
150900.941278,3538192
150901.050742,3545366
150901.173124,3553386
150901.293026,3561244
150901.424638,3569869
150901.550667,3578129
150901.679853,3586595
150901.823557,3596013
150902.010504,3608264
150902.128842,3616019
150902.234755,3622960
150902.326103,3628947
150902.413236,3634657
150902.526711,3642094
150902.706028,3653845
150902.861617,3664042
150902.981522,3671900
150903.171091,3684323
150903.315690,3693799
150903.456055,3702998
150903.584407,3711410
150903.683884,3717929
150903.783466,3724455
150903.942541,3734880
150904.095576,3744909
150904.239034,3754311
150904.348456,3761482
150904.459585,3768765
150904.578870,3776582
150904.713998,3785438
150904.814717,3792038
150904.913913,3798539
150905.010562,3804873
150905.107501,3811226
150905.207604,3817786
150905.330979,3825871
150905.444581,3833316
150905.578460,3842090
150905.687644,3849246
150905.793130,3856159
150905.928495,3865030
150906.046722,3872778
150906.155149,3879883
150906.237666,3885291
150906.344839,3892315
150906.458537,3899766
150906.569042,3907008
150906.694636,3915239
150906.809892,3922792
150906.915903,3929739
150907.043889,3938127
150907.145997,3944819
150907.284350,3953886
150907.440933,3964147
150907.574607,3972908
150907.726820,3982883
150907.850848,3991011
150907.969008,3998755
150908.153447,4010842
150908.319590,4021730
150908.449880,4030269
150908.592079,4039588
150908.755982,4050329
150908.897834,4059625
150909.018751,4067550
150909.150276,4076169
150909.266263,4083770
150909.405111,4092870
150909.658842,4109498
150909.849923,4122020
150910.065059,4136119
150910.208489,4145519
150910.348884,4154720
150910.475986,4163049
150910.631681,4173253
150910.765607,4182030
150910.922080,4192284
150911.136580,4206342
150911.286145,4216143
150911.441600,4226331
150911.577248,4235221
150911.708519,4243824
150911.853103,4253299
150911.991895,4262395
150912.117932,4270654
150912.257359,4279792
150912.415329,4290144
150912.544870,4298634
150912.682168,4307632
150912.842105,4318113
150913.040935,4331143
150913.187460,4340746
150913.303778,4348369
150913.445105,4357631
150913.592612,4367298
150913.766236,4378676
150913.882338,4386285
150914.006184,4394401
150914.170672,4405181
150914.336777,4416066
150914.504156,4427036
150914.654214,4436870
150914.786188,4445519
150914.936440,4455365
150915.124487,4467689
150915.314662,4480152
150915.444355,4488652
150915.559887,4496223
150915.683038,4504294
150915.790141,4511313
150915.899027,4518448
150916.021638,4526484
150916.125489,4533290
150916.222581,4539653
150916.344404,4547636
150916.497537,4557672
150916.648497,4567565
150916.807499,4577985
150917.010389,4591282
150917.151560,4600533
150917.290811,4609659
150917.419184,4618072
150917.571255,4628038
150917.704655,4636780
150917.826151,4644743
150917.960327,4653536
150918.088247,4661919
150918.239731,4671847
150918.399943,4682346
150918.532521,4691035
150918.687073,4701163
150918.810646,4709261
150918.923704,4716671
150919.058794,4725524
150919.257881,4738571
150919.423679,4749437
150919.555044,4758046
150919.685174,4766574
150919.832895,4776255
150919.935636,4782988
150920.026485,4788941
150920.122546,4795237
150920.231037,4802347
150920.354234,4810420
150920.462580,4817521
150920.590398,4825897
150920.709589,4833709
150920.846602,4842688
150921.006364,4853158
150921.154672,4862877
150921.298097,4872277
150921.410911,4879670
150921.504032,4885772
150921.588650,4891318
150921.681767,4897420
150921.790931,4904574
150921.935293,4914035
150922.096506,4924600
150922.203634,4931621
150922.318151,4939126
150922.455207,4948108
150922.589878,4956933
150922.718697,4965376
150922.843004,4973522
150922.971129,4981919
150923.074087,4988666
150923.187954,4996128
150923.343911,5006349
150923.518194,5017771
150923.615529,5024149
150923.731983,5031781
150923.828959,5038137
150923.990879,5048748
150924.139962,5058518
150924.242838,5065260
150924.359819,5072926
150924.536762,5084522
150924.658870,5092525
150924.847517,5104888
150924.979883,5113562
150925.124068,5123012
150925.263166,5132127
150925.406400,5141514
150925.560235,5151596
150925.669004,5158724
150925.775031,5165672
150925.889149,5173151
150925.996959,5180216
150926.103126,5187174
150926.210999,5194244
150926.332523,5202208
150926.431189,5208674
150926.581904,5218551
150926.751789,5229684
150926.898886,5239324
150927.033945,5248175
150927.191611,5258508
150927.310658,5266310
150927.434516,5274427
150927.570972,5283369
150927.677101,5290325
150927.774950,5296737
150927.936317,5307312
150928.078632,5316639
150928.215741,5325624
150928.313518,5332032
150928.446250,5340731
150928.579485,5349462
150928.716833,5358463
150928.856682,5367628
150929.020399,5378358
150929.163539,5387738
150929.365854,5400997
150929.542735,5412589
150929.675199,5421270
150929.786472,5428562
150929.878750,5434610
150929.963592,5440170
150930.102157,5449251
150930.280721,5460953
150930.426118,5470481
150930.567379,5479739
150930.720173,5489752
150930.850639,5498302
150930.958025,5505340
150931.048949,5511299
150931.144521,5517562
150931.226805,5522954
150931.330644,5529760
150931.446814,5537373
150931.597431,5547243
150931.709680,5554600
150931.814231,5561451
150931.936579,5569469
150932.094302,5579806
150932.220372,5588068
150932.329673,5595231
150932.452538,5603283
150932.589962,5612289
150932.712435,5620315
150932.823503,5627594
150932.946960,5635685
150933.085382,5644756
150933.197145,5652081
150933.301527,5658921
150933.418983,5666619
150933.550452,5675235
150933.667132,5682881
150933.768972,5689555
150933.894766,5697799
150933.998188,5704577
150934.122418,5712718
150934.238096,5720299
150934.362290,5728438
150934.440534,5733566
150934.523258,5738987
150934.625286,5745674
150934.765080,5754835
150934.897082,5763486
150935.010618,5770927
150935.117504,5777931
150935.223742,5784894
150935.327806,5791714
150935.438669,5798979
150935.592002,5809028
150935.744047,5818992
150935.858316,5826480
150935.975162,5834138
150936.137475,5844775
150936.292474,5854933
150936.404837,5862297
150936.490770,5867928
150936.583430,5874001
150936.689421,5880947
150936.814702,5889157
150936.974993,5899662
