world_index,id_fixation,x,y,zoom,etape,id_pan
1757,321,260072.3910023501,6253787.685932137,15.0,1,4
1758,321,261765.24291223625,6255230.734334361,15.0,1,4
1759,321,261556.50922873424,6255139.365287703,15.0,1,4
1759,322,260888.92255024,6255126.831282215,15.0,1,4
1760,322,260858.77694346508,6255186.13631498,15.0,1,4
1761,322,261234.8401304409,6255572.925000206,15.0,1,4
1762,322,261207.40270232645,6255590.594758856,15.0,1,4
1822,334,260734.70505627192,6256088.045366076,15.0,1,5
1823,334,260781.62896019247,6256094.031440047,15.0,1,5
1824,334,260648.8622713698,6256187.069475497,15.0,1,5
1825,334,260632.1561412945,6256206.586875167,15.0,1,5
1826,334,260646.0398281812,6256212.514518413,15.0,1,5
2257,407,259712.6890308257,6246868.549943875,18.0,2,6
2258,407,259697.5967505301,6246871.335513347,18.0,2,6
2260,407,259703.34643634135,6246881.609095501,18.0,2,6
2261,408,259759.87894830835,6246878.7303444,18.0,2,6
2262,408,259726.57585224172,6246885.037346563,18.0,2,6
2263,408,259726.14370406975,6246882.4327585725,18.0,2,6
2264,408,259736.21992876308,6246886.830939162,18.0,2,6
2310,416,259318.1571583705,6247121.630281598,18.0,2,7
2311,416,259309.9912083317,6247115.7472302215,18.0,2,7
2312,416,259310.78074068416,6247116.746126523,18.0,2,7
2313,416,259298.62542324132,6247128.003558783,18.0,2,7
2334,420,259239.7853760326,6247121.863988836,18.0,2,8
2335,420,259235.20642325436,6247123.615065394,18.0,2,8
2336,420,259238.3481681424,6247127.761109717,18.0,2,8
2337,420,259236.9705185872,6247125.160788707,18.0,2,8
2338,420,259233.013853026,6247119.440497651,18.0,2,8
2339,420,259235.50930626187,6247121.309704219,18.0,2,8
2340,420,259233.67434231917,6247119.896026655,18.0,2,8
2341,420,259230.6628022709,6247120.556255402,18.0,2,8
2341,421,259249.9110276517,6247114.485303115,18.0,2,8
2342,421,259243.23316465452,6247108.933769218,18.0,2,8
2343,421,259116.58602357385,6247230.999707139,18.0,2,8
2344,421,259117.03353116728,6247233.664494152,18.0,2,8
2345,421,259117.1116267352,6247231.455043937,18.0,2,8
2346,421,259100.61848405455,6247231.926356641,18.0,2,8
