world_index,id_fixation,x,y,zoom,etape
760,122,260549.18767347507,6255451.066150614,19.0,1
761,122,260548.92403472905,6255452.122112975,19.0,1
762,122,260548.85699316082,6255454.073852942,19.0,1
763,122,260549.01955700427,6255456.358436612,19.0,1
764,122,260549.16667600124,6255455.991533947,19.0,1
765,122,260548.9206006426,6255456.013714558,19.0,1
765,123,260546.29130346037,6255426.320604199,19.0,1
766,123,260545.76508523876,6255426.929475414,19.0,1
767,123,260545.48646294142,6255426.1749118,19.0,1
768,123,260545.61658235622,6255423.838586185,19.0,1
769,123,260545.4609550257,6255422.291536649,19.0,1
770,123,260545.22885520293,6255421.58725421,19.0,1
771,123,260545.40749603818,6255420.438917486,19.0,1
772,123,260545.56032142753,6255419.6412612125,19.0,1
772,124,260551.49862571826,6255421.226559809,19.0,1
773,124,260551.60615875354,6255420.683922896,19.0,1
774,124,260551.98653935373,6255420.096482687,19.0,1
775,124,260552.77132207423,6255419.432390593,19.0,1
776,124,260553.81709536462,6255418.986241258,19.0,1
777,124,260554.60579055175,6255418.797725288,19.0,1
778,124,260554.89165689214,6255419.4776551835,19.0,1
778,125,260553.06679018866,6255417.836270779,19.0,1
779,125,260552.16160942247,6255419.340035451,19.0,1
780,125,260550.43836434177,6255421.093706794,19.0,1
781,125,260549.53506292638,6255423.77738769,19.0,1
782,125,260549.51377500742,6255427.918453869,19.0,1
782,126,260542.34054931163,6255432.072359432,19.0,1
783,126,260541.86165655995,6255436.786719434,19.0,1
784,126,260541.40453010745,6255440.950965697,19.0,1
785,126,260541.48904963804,6255443.491472097,19.0,1
786,126,260541.18220290882,6255444.943302618,19.0,1
787,126,260541.1681590329,6255446.993394565,19.0,1
787,127,260538.72741199005,6255434.013162858,19.0,1
788,127,260539.1854097779,6255436.834559591,19.0,1
789,127,260540.71952382897,6255440.713302569,19.0,1
790,127,260542.7392108695,6255444.894866623,19.0,1
791,127,260544.1786739807,6255448.528892501,19.0,1
791,128,260536.4431465281,6255432.949589126,19.0,1
792,128,260537.73022846013,6255436.426947624,19.0,1
793,128,260539.13528236683,6255439.949359287,19.0,1
794,128,260539.36864648008,6255443.060564724,19.0,1
795,128,260538.84570857987,6255445.836735306,19.0,1
795,129,260526.5442471245,6255437.445199103,19.0,1
796,129,260526.3441475202,6255440.076253906,19.0,1
797,129,260527.06969652075,6255442.001469399,19.0,1
798,129,260528.58705017975,6255442.423746708,19.0,1
799,129,260529.23349559697,6255441.890950759,19.0,1
799,130,260523.859799539,6255445.383801087,19.0,1
800,130,260523.78037134054,6255444.616724841,19.0,1
801,130,260522.99601574524,6255444.061075559,19.0,1
802,130,260522.34897235277,6255443.909578529,19.0,1
803,130,260521.789113752,6255443.87077207,19.0,1
804,130,260521.99128064213,6255443.927915012,19.0,1
805,130,260523.58134809174,6255443.5082709305,19.0,1
805,131,260536.75294896358,6255414.910160039,19.0,1
806,131,260538.031505477,6255413.864403834,19.0,1
807,131,260538.59467856915,6255412.439078566,19.0,1
808,131,260538.44826005748,6255411.075605295,19.0,1
809,131,260537.93213907516,6255410.299187821,19.0,1
810,131,260537.58355367335,6255410.616136061,19.0,1
811,131,260538.08956033143,6255411.262545173,19.0,1
812,131,260539.1456529662,6255412.108733544,19.0,1
812,132,260533.3003252846,6255421.143488234,19.0,1
813,132,260534.790137912,6255421.452037057,19.0,1
814,132,260536.4940085945,6255421.208108002,19.0,1
815,132,260537.7389759838,6255421.474448315,19.0,1
